Zc,E0Tn,betaTn
-4356.68907199,58398.98190363,0.00010000
-4368.87806146,59682.59934652,0.00010000
-4307.57700107,55082.91176902,0.00010000
-4172.43300086,101000.47016174,0.00010000
-4608.39741774,13146.06700088,0.02689501
-4705.55472174,12423.43583205,0.00010570
-4901.60033801,3331.03952485,0.09625838
-4973.97149783,3990.41756909,0.08982295
-5141.69816697,4892.13949316,0.05235809
-5128.63756963,3939.40749078,0.06926394
-5219.86139490,4066.85014983,0.05347337
-5248.31391960,6933.06057030,0.00512048
-5344.10004227,5064.39136318,0.04927014
-5310.63204700,7172.04829250,0.01019244
-5299.52719215,7861.89805690,0.01325969
-5206.19357930,10992.66653057,0.00010000
-5092.66805995,13451.97015998,0.00010000
-5033.91439623,12550.84069338,0.00010000
-4937.47247335,12910.91398629,0.00010000
-4814.24869476,14756.42964496,0.00010002
-4799.11198673,13449.98989465,0.00010000
-4845.98349651,13313.02500021,0.00013133
-4798.82409472,17157.07538268,0.00010001
-5209.14434660,13310.46488538,0.00038778
-4269.83173881,88912.20315702,0.00429946
-4199.93709630,142378.76007877,0.00010000
-4238.36383495,119005.96827992,0.00010000
-4077.71653386,228740.07814492,0.00011180
-4088.66076792,229914.67119321,0.00010000
-4081.13263409,224181.46394178,0.00010000
-4110.75696543,208667.45639814,0.00010000
-4087.83650562,254825.00326402,0.00010822
-4104.68659881,215387.38139068,0.00010000
-4116.17810243,240613.61725421,0.00010000
-4108.87567111,248105.86350505,0.00010000
-4106.32816674,252885.86673452,0.00010000
-4142.14864984,217669.19237781,0.00010000
-4117.43140861,255768.38796511,0.00010000
-4126.33626615,245517.38792023,0.00010000
-4132.40711054,245612.03193270,0.00010000
-4148.48533861,192471.55444502,0.00010000
-4138.94772137,245748.13684529,0.00010000
-4141.64447233,252831.06284223,0.00010000
-4146.38749476,249196.45769044,0.00010000
-4240.02856201,153642.22599989,0.00010000
-4150.40521180,260938.52919122,0.00011970
-4156.88644783,258463.71192585,0.00010000
-4157.27821445,255766.60924074,0.00010000
-4161.51138381,253541.20351705,0.00010000
-4151.12563935,259666.60189093,0.00010591
-4158.94559833,251789.08336854,0.00010001
-4177.95006437,225672.67369180,0.00010000
-4168.21494754,252525.57914746,0.00010000
-4160.56028726,239707.14860468,0.00010000
-4193.16078689,216750.97123464,0.00010000
-4151.22782727,252173.91108030,0.00010000
-4151.13861022,249299.13973656,0.00010446
-4150.48037229,254155.75339270,0.00010000
-4167.86309448,217004.82463677,0.00010000
-4145.93775034,260266.23890706,0.00010000
-4147.98143615,244442.06899272,0.00010002
-4155.49482542,240307.50454755,0.00010000
-4140.72260476,252566.41254419,0.00010000
-4405.93349083,73391.16267884,0.00010000
-4531.43765293,52377.67316718,0.00010000
-4357.70291969,83450.73788991,0.00010000
-4316.72141364,118800.75409980,0.00010000
-4365.74088109,82835.94538091,0.00011674
-4255.77511763,156792.10991833,0.00010000
-4311.20625930,102552.77504725,0.01555378
-4823.15304066,1831.99762164,0.26932923
-5028.66277797,9675.13248602,0.02224636
-5196.17078521,10431.33036017,0.00010097
-5047.62602771,11611.00859088,0.00010000
-5158.18374687,11739.64488176,0.00010000
-5323.21716789,9963.66759887,0.00010000
-5434.31660634,9599.44899106,0.00010000
-5636.37417525,9314.79585942,0.00010001
-5830.51695217,6504.94783966,0.00019811
-5852.37268570,5796.26738130,0.00012614
-6070.01333097,2917.56151950,0.04563968
-5932.10333629,1390.02678975,0.13208054
-6208.92265728,690.84152842,0.17589770
-6143.44922318,1206.76812487,0.14713132
-6196.48686555,983.02587575,0.15222896
-6263.63625024,1164.26767412,0.14907451
-5795.89721311,860.52532035,0.17936806
-5448.24725870,1296.13305432,0.13142166
-5286.20328946,763.55842356,0.20380748
-5014.84215986,4025.57364085,0.07428294
-4626.76640768,17235.96750272,0.02025902
-4452.79600268,44885.24618712,0.00010000
-4496.73195146,65670.95223931,0.00010002
-4516.64905500,70517.10943532,0.00010003
-4520.88388093,63671.38063233,0.00010000
-4566.42248498,37602.00838484,0.00010000
-4325.73213744,93416.40048854,0.00010000
-4221.66672655,121012.23843373,0.00010000
-4216.67243057,123735.98859250,0.00010000
-4251.11212276,125857.92632561,0.00010000
-4089.13531269,240729.35050126,0.00010000
-4079.82954866,250251.35815543,0.00010006
-4083.44524108,251039.96908690,0.00010000
-4078.29175095,259852.76813132,0.00010000
-4079.35906725,245043.70684744,0.00010000
-4075.84690959,248354.27914208,0.00010000
-4077.28868666,246775.98021070,0.00010000
